Level,Group,Task,Model,Metric,Unit,AvailableFlightCount,MissingFlightCount,MeanOfFlightMetric,StdOfFlightMetric,MinFlightMetric,MaxFlightMetric,P50FlightMetric,P90FlightMetric,P95FlightMetric,Status
flight,const4-trial2-traj2,tdoa,raw,rmse_m,m,1,0,0.1793,0,0.1793,0.1793,0.1793,0.1793,0.1793,available
flight,const4-trial2-traj2,tdoa,fnn,rmse_m,m,1,0,0.1577,0,0.1577,0.1577,0.1577,0.1577,0.1577,available
flight,const4-trial2-traj2,tdoa,cnn1,rmse_m,m,1,0,0.1427,0,0.1427,0.1427,0.1427,0.1427,0.1427,available
flight,const4-trial2-traj2,tdoa,cnn2,rmse_m,m,1,0,0.156,0,0.156,0.156,0.156,0.156,0.156,available
flight,const4-trial2-traj2,tdoa,raw,mae_m,m,1,0,0.1483,0,0.1483,0.1483,0.1483,0.1483,0.1483,available
flight,const4-trial2-traj2,tdoa,fnn,mae_m,m,1,0,0.1182,0,0.1182,0.1182,0.1182,0.1182,0.1182,available
flight,const4-trial2-traj2,tdoa,cnn1,mae_m,m,1,0,0.1041,0,0.1041,0.1041,0.1041,0.1041,0.1041,available
flight,const4-trial2-traj2,tdoa,cnn2,mae_m,m,1,0,0.1136,0,0.1136,0.1136,0.1136,0.1136,0.1136,available
flight,const4-trial2-traj2,position,raw,rmse_m,m,1,0,0.3139,0,0.3139,0.3139,0.3139,0.3139,0.3139,available
flight,const4-trial2-traj2,position,fnn,rmse_m,m,1,0,0.1044,0,0.1044,0.1044,0.1044,0.1044,0.1044,available
flight,const4-trial2-traj2,position,cnn1,rmse_m,m,1,0,0.1086,0,0.1086,0.1086,0.1086,0.1086,0.1086,available
flight,const4-trial2-traj2,position,cnn2,rmse_m,m,1,0,0.1007,0,0.1007,0.1007,0.1007,0.1007,0.1007,available
flight,const4-trial2-traj2,position,raw,mae_m,m,0,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,unavailable
flight,const4-trial2-traj2,position,fnn,mae_m,m,0,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,unavailable
flight,const4-trial2-traj2,position,cnn1,mae_m,m,0,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,unavailable
flight,const4-trial2-traj2,position,cnn2,mae_m,m,0,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,unavailable
flight,const4-trial2-traj3,tdoa,raw,rmse_m,m,1,0,0.1906,0,0.1906,0.1906,0.1906,0.1906,0.1906,available
flight,const4-trial2-traj3,tdoa,fnn,rmse_m,m,1,0,0.1615,0,0.1615,0.1615,0.1615,0.1615,0.1615,available
flight,const4-trial2-traj3,tdoa,cnn1,rmse_m,m,1,0,0.1465,0,0.1465,0.1465,0.1465,0.1465,0.1465,available
flight,const4-trial2-traj3,tdoa,cnn2,rmse_m,m,1,0,0.1582,0,0.1582,0.1582,0.1582,0.1582,0.1582,available
flight,const4-trial2-traj3,tdoa,raw,mae_m,m,1,0,0.1571,0,0.1571,0.1571,0.1571,0.1571,0.1571,available
flight,const4-trial2-traj3,tdoa,fnn,mae_m,m,1,0,0.1178,0,0.1178,0.1178,0.1178,0.1178,0.1178,available
flight,const4-trial2-traj3,tdoa,cnn1,mae_m,m,1,0,0.1066,0,0.1066,0.1066,0.1066,0.1066,0.1066,available
flight,const4-trial2-traj3,tdoa,cnn2,mae_m,m,1,0,0.1129,0,0.1129,0.1129,0.1129,0.1129,0.1129,available
