Flight,Constellation,Trial,Trajectory,Model,Task,Metric,Value,Unit,Status,SourceArtifact
const4-trial1-traj3,const4,trial1,traj3,fnn,tdoa,mae_m,0.1197,m,available,C:\Users\ASUS\Desktop\aria thesis\uwb_imu_data_fusion_nn\result\result_overall_tdoa_ma.xlsx
const4-trial1-traj3,const4,trial1,traj3,cnn1,tdoa,mae_m,0.1054,m,available,C:\Users\ASUS\Desktop\aria thesis\uwb_imu_data_fusion_nn\result\result_overall_tdoa_ma.xlsx
const4-trial1-traj3,const4,trial1,traj3,cnn2,tdoa,mae_m,0.116,m,available,C:\Users\ASUS\Desktop\aria thesis\uwb_imu_data_fusion_nn\result\result_overall_tdoa_ma.xlsx
const4-trial2-traj1,const4,trial2,traj1,raw,tdoa,mae_m,0.1572,m,available,C:\Users\ASUS\Desktop\aria thesis\uwb_imu_data_fusion_nn\result\result_overall_tdoa_ma.xlsx
const4-trial2-traj1,const4,trial2,traj1,fnn,tdoa,mae_m,0.1196,m,available,C:\Users\ASUS\Desktop\aria thesis\uwb_imu_data_fusion_nn\result\result_overall_tdoa_ma.xlsx
const4-trial2-traj1,const4,trial2,traj1,cnn1,tdoa,mae_m,0.104,m,available,C:\Users\ASUS\Desktop\aria thesis\uwb_imu_data_fusion_nn\result\result_overall_tdoa_ma.xlsx
const4-trial2-traj1,const4,trial2,traj1,cnn2,tdoa,mae_m,0.1112,m,available,C:\Users\ASUS\Desktop\aria thesis\uwb_imu_data_fusion_nn\result\result_overall_tdoa_ma.xlsx
const4-trial2-traj2,const4,trial2,traj2,raw,tdoa,mae_m,0.1483,m,available,C:\Users\ASUS\Desktop\aria thesis\uwb_imu_data_fusion_nn\result\result_overall_tdoa_ma.xlsx
const4-trial2-traj2,const4,trial2,traj2,fnn,tdoa,mae_m,0.1182,m,available,C:\Users\ASUS\Desktop\aria thesis\uwb_imu_data_fusion_nn\result\result_overall_tdoa_ma.xlsx
const4-trial2-traj2,const4,trial2,traj2,cnn1,tdoa,mae_m,0.1041,m,available,C:\Users\ASUS\Desktop\aria thesis\uwb_imu_data_fusion_nn\result\result_overall_tdoa_ma.xlsx
const4-trial2-traj2,const4,trial2,traj2,cnn2,tdoa,mae_m,0.1136,m,available,C:\Users\ASUS\Desktop\aria thesis\uwb_imu_data_fusion_nn\result\result_overall_tdoa_ma.xlsx
const4-trial2-traj3,const4,trial2,traj3,raw,tdoa,mae_m,0.1571,m,available,C:\Users\ASUS\Desktop\aria thesis\uwb_imu_data_fusion_nn\result\result_overall_tdoa_ma.xlsx
const4-trial2-traj3,const4,trial2,traj3,fnn,tdoa,mae_m,0.1178,m,available,C:\Users\ASUS\Desktop\aria thesis\uwb_imu_data_fusion_nn\result\result_overall_tdoa_ma.xlsx
const4-trial2-traj3,const4,trial2,traj3,cnn1,tdoa,mae_m,0.1066,m,available,C:\Users\ASUS\Desktop\aria thesis\uwb_imu_data_fusion_nn\result\result_overall_tdoa_ma.xlsx
const4-trial2-traj3,const4,trial2,traj3,cnn2,tdoa,mae_m,0.1129,m,available,C:\Users\ASUS\Desktop\aria thesis\uwb_imu_data_fusion_nn\result\result_overall_tdoa_ma.xlsx
const4-trial3-traj1,const4,trial3,traj1,raw,tdoa,mae_m,0.3315,m,available,C:\Users\ASUS\Desktop\aria thesis\uwb_imu_data_fusion_nn\result\result_overall_tdoa_ma.xlsx
const4-trial3-traj1,const4,trial3,traj1,fnn,tdoa,mae_m,0.2356,m,available,C:\Users\ASUS\Desktop\aria thesis\uwb_imu_data_fusion_nn\result\result_overall_tdoa_ma.xlsx
